trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.5, 'e': 0.7451744023448704}",20,12,-31.485456217746727,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.7418307534023282}",30,2,-78.16768001079491,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 2}",1
149,False,"{'a': 0.5, 'e': 0.7384685587295879}",30,0,-80.4828734534293,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.7350879023813413}",20,16,7.229828261542065,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,-58.819458940188134,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.7282715431826874}",20,0,-202.70955141860844,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
153,False,"{'a': 0.5, 'e': 0.7248360107409052}",20,0,-71.98618901336555,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.7213823574366063}",20,12,-9.226564097658066,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.7179106696109433}",20,5,-26.415247439096696,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.7144210340559314}",20,0,-74.6318106702424,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,0,-73.71648277858148,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.7073882691671998}",25,0,-126.29601426016856,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
159,False,"{'a': 0.5, 'e': 0.7038453156522361}",20,0,-106.70000274578635,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.7002847660410397}",25,0,-70.65629527274098,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.6967067093471654}",20,0,-0.4446385824243916,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.6931112350218442}",30,13,-29.173550005129478,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.689498432951747}",35,0,-138.1448991509748,"{0: 26, 1: 1, 2: 5, 3: 0, 4: 3}",0
164,False,"{'a': 0.5, 'e': 0.6858683934567373}",25,9,-52.55310273037238,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.6822212072876135}",20,8,-0.2961932206771105,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.6785569656238398}",20,8,-14.615364561775966,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.674875760071267}",20,0,-6.306495883913254,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.6711776826598423}",20,6,-63.25407375329921,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.6674628258413081}",25,0,-91.48408115536313,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.6637312824868916}",25,0,-78.01675971766839,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.6599831458849822}",20,0,-68.29109766959742,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.6562185097387997}",20,0,-87.39351263338202,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.6524374681640519}",30,11,-2.170753420199837,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.648640115686581}",25,3,-136.91206039385142,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 2}",1
175,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,0,-2.1698616047940487,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.6409968581633251}",30,2,-47.591435560264735,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.6371511441985802}",25,12,4.881460008632356,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.6332895014884152}",25,0,-13.854499045925756,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.6294120265736969}",30,8,-35.62796510410866,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.625518816391096}",30,14,-56.27101201262866,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,0,-22.41458133995998,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.6176855799334016}",25,6,13.415710830854033,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
